Date,Close,High,Low,Open,Volume,prediction
2021/12/27,275.5,276.5,271,271,4520189,0
2021/12/28,277.5,278.5,275.5,276.5,3770984,0
2021/12/29,278,280,277,278.5,3610412,0
2021/12/30,275,278,275,278,2272848,0
2022/1/3,282,282.5,275,276,5888040,0
2022/1/4,297,298,285.5,286,15548338,0
2022/1/5,290.5,302,289.5,302,10172224,0
2022/1/6,291,292,284,288,7272144,0
2022/1/7,283,293,282,292,6692949,0
2022/1/10,283.5,285,276.5,279,5729943,0
2022/1/11,287,291,279.5,279.5,7526835,0
2022/1/12,282,291,279.5,288,6709009,0
2022/1/13,277,283.5,276,283.5,6180022,0
2022/1/14,271.5,274,268,273,6667600,0
2022/1/17,273.5,274,270,270.5,3393651,0
2022/1/18,274,277,274,274.5,2492696,0
2022/1/19,275,277,272.5,276,4741817,0
2022/1/20,272.5,275.5,269,274,5538212,0
2022/1/21,272.5,275.5,270,273,4385695,0
2022/1/24,272,273,269,269.5,2378221,0
2022/1/25,269,270.5,266,269,5697799,0
2022/1/26,268,270.5,266.5,267,4044914,0
2022/2/7,271,277.5,269.5,271.5,8686008,0
2022/2/8,269,272.5,269,271,9562776,0
2022/2/9,269.5,271,268.5,269,5081218,0
2022/2/10,269.5,271,268,270,5238991,0
2022/2/11,265.5,269,265.5,267.5,7143298,0
2022/2/14,256,264,255.5,264,7142153,0
2022/2/15,253.5,256.5,252,255,8154774,0
2022/2/16,258.5,259.5,256.5,257,4369497,0
2022/2/17,261,262.5,258.5,260,4778897,0
2022/2/18,261.5,262,258,258.5,2333536,0
2022/2/21,260,260,257,258.5,2174876,0
2022/2/22,257,258,256,257.5,4271945,0
2022/2/23,259,261,257,257.5,3158838,0
2022/2/24,253.5,257,252,255.5,6130739,0
2022/2/25,246.5,255.5,246,254,14130109,0
2022/3/1,256.5,256.5,247.5,249,8626670,0
2022/3/2,255,258,252,254.5,5681260,0
2022/3/3,256,258,254.5,255.5,6209627,0
2022/3/4,254.5,257,251.5,253,3171154,0
2022/3/7,247,250,246,249.5,8601256,0
2022/3/8,235.5,250,234,242,13041761,0
2022/3/9,241.5,243,236.5,236.5,6350583,0
2022/3/10,254.5,258,249.5,252,9832666,0
2022/3/11,262,264,254.5,257.5,10775338,0
2022/3/14,257.5,263.5,256,263.5,4342888,0
2022/3/15,251.5,257.5,249.5,257.5,6369525,0
2022/3/16,249,254,247,251.5,7822678,0
2022/3/17,260.5,262,253,255,8182081,0
2022/3/18,256,262.5,254.5,260,10297139,0
2022/3/21,261,265,260,261,5578053,0
2022/3/22,262,264,260.5,263.5,3944770,0
2022/3/23,264.5,266,262,266,3060714,0
2022/3/24,266.5,267.5,262.5,265,4664658,0
2022/3/25,268,270,266,269,4838490,0
2022/3/28,265,265.5,258.5,264,2708029,0
2022/3/29,266,268.5,263.5,263.5,3124763,0
2022/3/30,268,270,265,269,4674913,0
2022/3/31,268.5,269.5,266,269,3503336,0
2022/4/1,268.5,268.5,263,265.5,4892578,0
2022/4/6,263.5,269,263,267.5,5970828,0
2022/4/7,261,264,259,259,6654945,0
2022/4/8,261,265,259,260,4173598,0
2022/4/11,250.5,263,250.5,263,5472520,0
2022/4/12,248.5,253.5,247,247.5,5738549,1
2022/4/13,255.5,257,250,253,3778360,0
2022/4/14,253,257.5,252.5,257.5,2687244,1
2022/4/15,249.5,253.5,249,253,2204279,1
2022/4/18,247.5,250,245.5,246.5,2327584,0
2022/4/19,247.5,253,247.5,252,1874868,1
2022/4/20,251,252,248,248,4663273,0
2022/4/21,253,254.5,251,254,3007639,1
2022/4/22,246,249.5,245.5,248,5823134,1
2022/4/25,236.5,242,236,238.5,7374069,0
2022/4/26,252,252,239,240,8487324,1
2022/4/27,245,249.5,244,244,7040354,1
2022/4/28,246.5,249.5,243.5,247,5022354,1
2022/4/29,250,252,247,251.5,5162064,1
2022/5/3,242.5,250,240.5,250,3752988,1
2022/5/4,241,246,240.5,243,3061828,1
2022/5/5,241,245,240,245,2971792,1
2022/5/6,234,237,231.5,235,7663635,1
2022/5/9,230,232,228,230,5075197,0
2022/5/10,226.5,228.5,222,224.5,5421293,1
2022/5/11,223.5,227,222,226,4135782,1
2022/5/12,218.5,222,217.5,222,4688068,0
2022/5/13,221,221.5,217,218.5,4935635,1
2022/5/16,223,227.5,221.5,225.5,2888742,0
2022/5/17,225,226,222.5,226,4393790,1
2022/5/18,231,233,228,229,5048360,1
2022/5/19,222,224,220.5,223,4430469,1
2022/5/20,226.5,227,222.5,224,4368825,1
2022/5/23,225,230,225,230,2814966,1
2022/5/24,220,227.5,220,224.5,2506749,0
2022/5/25,222.5,224,220,223,4505551,0
2022/5/26,224,226,222.5,224.5,2667918,0
2022/5/27,231.5,233.5,225,226,5419829,1
2022/5/30,238.5,239,233,235.5,5241412,1
2022/5/31,241.5,241.5,236.5,237,7719352,0
2022/6/1,241.5,242.5,239.5,242.5,2433464,1
2022/6/2,236.5,240,236.5,238,2733008,0
2022/6/6,239,239.5,231.5,237,3480827,0
2022/6/7,233,236,230.5,234.5,5461195,1
2022/6/8,234.5,235,233,234,2547311,1
2022/6/9,235,236,232,234.5,3503804,1
2022/6/10,237,239,232.5,236,3178462,1
2022/6/13,228,234.5,226.5,232,4606352,1
2022/6/14,228.5,228.5,223,223,4450039,1
2022/6/15,225,227.5,223,226,4602648,1
2022/6/16,227.5,232,226,229,6179689,1
2022/6/17,227,228,219,219,7204965,0
2022/6/20,220,226.5,220,225,4482545,1
2022/6/21,232.5,232.5,223.5,226.5,4675560,0
2022/6/22,226.5,231.5,226.5,230.5,3793161,1
2022/6/23,234,236,228,231,7481808,1
2022/6/24,239,241,235,239.5,7573675,1
2022/6/27,236.5,240.5,236.5,239,6077910,1
2022/6/28,236,239,234,237.5,5687285,1
2022/6/29,227.5,228.5,225,227.5,6688257,1
2022/6/30,221.5,225,220.5,223.5,6214337,1
2022/7/1,221.5,227,219,220.5,8243287,1
2022/7/4,219,221.5,214,218,7078357,0
2022/7/5,220.5,224.5,217.5,222,6841010,0
2022/7/6,210.5,222.5,210.5,221,7179289,1
2022/7/7,221,223.5,213,215.5,7589572,1
2022/7/8,227.5,229.5,220,221.5,7086233,1
2022/7/11,229.5,230,227,227,3580265,1
2022/7/12,231,233,229.5,230.5,5310206,1
